loan_id,age,employment_status,tenure_months,annual_income,residence_type,dependents,credit_score,delinquencies_12m,inquiries_6m,revolving_utilization,total_open_accounts,months_since_last_delinquency,loan_amount,term_months,interest_rate,installment_amount,purpose,months_on_book,current_balance,missed_payments_3m,days_past_due,payment_to_income_ratio,unemployment_rate,inflation_rate,cash_rate_proxy,region,region_risk_index,default_12m,lgd,ead,ecl_true
18,54,Employed,63,34210.0,Rent,0,668,0,2,0.49396505366638005,5,39,5994.0,24,0.09775562307615021,275.97,Other,1,5744.25,0,0,0.09680327389652149,4.8074347484826045,4.078606086977481,3.4709820054838474,Inner Metro,0.95,0,0.6080056249647134,5744.25,212.80286707299754
19,59,Employed,120,45197.0,Rent,4,702,0,1,0.0488874447611448,4,86,6735.0,60,0.11696191588089955,148.78,Debt Consolidation,52,898.0,0,0,0.03950173684094077,5.327419417299034,4.349928376899374,6.393048163974815,Regional,1.08,0,0.6305978424638778,898.0,14.547588369947999
20,43,Employed,16,74383.0,Rent,0,630,1,0,0.1408752262304537,11,7,12568.0,48,0.08008672896401967,306.87,Car,6,10997.0,0,0,0.04950647325329713,5.731912683524703,2.463514034418443,3.5346978501085147,Outer Metro,1.0,0,0.6615922028836585,10997.0,512.4956220747157
21,56,Self-employed,74,68478.0,Rent,2,700,0,1,0.5378900137565944,6,32,11905.0,48,0.14431067101308867,327.9,Debt Consolidation,47,595.25,0,0,0.05746079032682029,6.589102062800611,4.770920976465636,4.810339087232012,Regional,1.08,0,0.6736291552800494,595.25,75.88047554627892
22,24,Student,3,20874.0,Mortgage,1,624,2,2,0.23769958211570796,9,0,2915.0,60,0.12642478647792058,65.79,Debt Consolidation,47,631.58,0,0,0.03782121299223915,6.527217435345503,6.811628567006037,5.010204915737362,Inner Metro,0.95,0,0.6678917155444876,631.58,105.26091821386781
23,53,Employed,28,29704.0,Rent,0,590,2,0,0.2869241187879381,9,9,4945.0,24,0.08549876805667096,224.89,Car,17,1442.29,0,0,0.09085241044977106,3.3916872173161883,4.22180625055173,5.364173513998274,Remote,1.18,0,0.7150408715394785,1442.29,233.35366067481218
24,47,Student,95,23310.0,Mortgage,0,685,0,2,0.38784904753413185,6,105,2111.0,36,0.07848712393885011,66.0,Other,12,1407.33,0,0,0.03397683397683398,4.421593297390382,2.871842669892832,3.427503843413365,Regional,1.08,0,0.6235187697426982,1407.33,48.417175353396225
25,41,Employed,21,44658.0,Rent,1,624,0,1,0.3192418383152852,7,81,11737.0,60,0.09529754201668386,246.67,Other,10,9780.83,0,0,0.06628241300550852,5.31227862508986,3.6204124254584515,3.312347187209366,Regional,1.08,0,0.6177781524056629,9780.83,1079.9625460989312
26,36,Employed,88,67181.0,Rent,3,747,0,0,0.012334021273203547,4,60,24818.0,60,0.0741386832922504,496.29,Home Improvement,5,22749.83,0,0,0.08864827853113232,7.086662484309364,3.5785768395817623,4.034561416925771,Inner Metro,0.95,0,0.6010617051673462,22749.83,734.0804108402425
27,18,Employed,28,34956.0,Rent,2,612,1,1,0.1439400320608373,7,15,13395.0,36,0.0707126134549759,414.04,Home Improvement,58,669.75,0,0,0.14213525575008584,3.0,3.132530431943535,5.192927227389117,Outer Metro,1.0,0,0.6445923093541889,669.75,17.528862344600615
28,46,Unemployed,23,18000.0,Own,0,668,0,1,0.6030414726116166,8,73,5303.0,36,0.12519853089725771,177.46,Debt Consolidation,54,265.15,0,0,0.11830666666666667,4.466997512531444,4.939540091730516,4.505788841219638,Inner Metro,0.95,0,0.6204222375804853,265.15,39.20120038181846
29,32,Employed,26,34454.0,Mortgage,1,599,0,2,0.5570574656863169,1,47,5792.0,60,0.09677211580605449,122.14,Other,50,965.33,0,0,0.042540198525570325,3.3665311916954734,2.0,5.580433687848597,Inner Metro,0.95,0,0.6240135853786335,965.33,113.0912075258727
30,34,Employed,62,77555.0,Own,0,595,2,0,0.27259398062045403,5,1,22119.0,48,0.06734571218764202,526.95,Debt Consolidation,55,1105.95,1,16,0.08153439494552253,3.5567469302837234,4.354215731834991,3.6662429498871814,Outer Metro,1.0,0,0.6032653522123954,1105.95,98.43930569007446
31,41,Employed,86,97402.0,Own,1,627,2,1,0.2189083213022633,10,13,18556.0,24,0.12402250471340269,876.99,Car,30,927.8,0,0,0.10804583068109484,6.382882114531303,5.6776227551841885,4.246697383973425,Outer Metro,1.0,1,0.6070289059043974,927.8,65.77564973669864
32,42,Unemployed,29,18000.0,Rent,0,696,0,0,0.07501100455134295,11,53,2998.0,48,0.07954893502601725,73.13,Medical,44,249.83,0,0,0.04875333333333333,4.561737288468454,5.5938017460819704,4.423122357156144,Remote,1.18,0,0.6235212065210438,249.83,21.059226200990313
33,30,Employed,51,58601.0,Rent,0,598,0,1,0.47841227344131254,6,51,20292.0,72,0.08422635402119212,359.99,Home Improvement,17,15500.83,0,0,0.07371683077080596,3.0,5.331858363292268,4.371280749283323,Inner Metro,0.95,0,0.6544886097048397,15500.83,1065.7152951754836
34,29,Employed,43,72733.0,Mortgage,2,589,1,0,0.5777271724380363,7,12,11082.0,60,0.12334155334524846,248.39,Home Improvement,1,10897.3,0,0,0.0409811227365845,5.00987313972067,3.1418607160273897,5.088432070119919,Inner Metro,0.95,0,0.63679209185639,10897.3,1524.6360134657978
35,28,Employed,116,60228.0,Mortgage,0,766,0,1,0.42765444755045817,5,39,17521.0,60,0.14601094790011582,413.16,Other,50,2920.17,1,29,0.08231918708906157,7.643031386152831,5.894808417212177,5.73854544123067,Outer Metro,1.0,1,0.6243506888031232,2920.17,243.40799733326034
36,39,Employed,32,39221.0,Own,1,665,0,0,0.35804686628786353,5,62,12571.0,36,0.06707842303258414,386.48,Car,12,8380.67,0,0,0.11824685755080187,3.031970563811437,4.476613175094906,3.913315069883744,Inner Metro,0.95,0,0.6066281625011329,8380.67,200.08296116475003
37,51,Self-employed,35,185730.0,Mortgage,3,622,0,0,0.3941746512612566,6,54,52154.0,60,0.10605858867293468,1123.73,Car,44,13907.73,0,0,0.07260410272976903,5.839524850565764,5.850243314395877,4.03586140611132,Inner Metro,0.95,0,0.5631399155518647,13907.73,1851.0116009778453
38,40,Self-employed,33,35325.0,Rent,0,636,1,1,0.5057519500615018,8,6,8102.0,48,0.14959465429313348,225.32,Car,18,5063.75,0,0,0.07654182590233545,7.081244574176501,5.4060303238023,4.798600668278205,Outer Metro,1.0,0,0.706773613107125,5063.75,1625.8174370762986
39,42,Employed,27,53085.0,Rent,0,693,0,2,0.10393517579514461,10,59,12774.0,36,0.08863758544710025,405.4,Medical,43,638.7,0,0,0.091641706696807,5.140692784387157,4.408713381404702,4.834744871420551,Inner Metro,0.95,0,0.6200535820351699,638.7,23.957124742399625
40,36,Employed,58,65240.0,Own,1,655,0,0,0.2889443714039644,4,80,22209.0,36,0.1427588773704239,762.03,Debt Consolidation,43,1110.45,0,0,0.14016492949110973,7.513600383678545,3.6818603858480747,5.578949237543754,Outer Metro,1.0,1,0.6026094923991697,1110.45,84.42543731647962
41,33,Employed,60,55795.0,Rent,5,708,0,1,0.19317451965379875,1,70,16089.0,24,0.09394792918687367,737.94,Car,7,11396.37,0,0,0.15871099560892554,4.408227017246222,7.073339583106769,4.593924123222776,Inner Metro,0.95,0,0.5955842982711291,11396.37,422.7009649530825
42,31,Employed,62,72896.0,Rent,2,608,1,4,0.30442918463484764,9,9,18822.0,48,0.13294729016333384,507.7,Home Improvement,40,3137.0,0,0,0.08357660228270412,6.935128045935679,2.0,4.29652795919038,Regional,1.08,0,0.7268467778798814,3137.0,406.2790174757146
43,34,Employed,45,51535.0,Mortgage,0,539,3,0,0.3815944326896467,7,8,5961.0,36,0.14576683535942428,205.41,Home Improvement,51,298.05,1,22,0.04783001843407393,6.651924665842935,3.7744986676276375,6.249699536606746,Outer Metro,1.0,1,0.7066340332754593,298.05,67.4388524989009
44,22,Employed,45,66825.0,Rent,0,592,0,1,0.2899485386105962,8,59,13034.0,36,0.09737598793485609,418.97,Other,47,651.7,0,0,0.07523591470258137,5.160960785492939,2.1729691661675803,4.830605546538998,Inner Metro,0.95,0,0.6520684668531588,651.7,34.134848519183286
45,53,Employed,31,73507.0,Rent,0,472,2,3,0.7510431603962738,11,18,26873.0,36,0.13079896163451768,906.49,Home Improvement,22,10450.61,1,18,0.1479842736065953,3.4153550135050192,4.152089903283899,5.216547127438792,Regional,1.08,1,0.7754726710734482,10450.61,3902.775149992623
46,41,Employed,72,35217.0,Rent,2,575,1,1,0.2313829533543663,8,8,4817.0,48,0.05803918750672117,112.69,Debt Consolidation,16,3211.33,0,0,0.038398500724082116,3.9979240900877575,4.463728247761047,3.0,Regional,1.08,0,0.727049832459731,3211.33,224.05313121503184
47,40,Employed,58,41771.0,Own,1,698,0,1,0.1869699634991882,10,70,4720.0,60,0.05561955323831061,90.29,Debt Consolidation,37,1809.33,0,0,0.0259385698211678,3.0,3.1641924364326974,4.3624237855757,Inner Metro,0.95,0,0.5850529738833536,1809.33,57.555093698271584
48,42,Employed,131,44561.0,Mortgage,1,664,0,1,0.7639305595202222,11,76,6237.0,72,0.15268448798493484,132.79,Debt Consolidation,27,3898.12,0,0,0.03575952065707681,5.912979911815622,3.261966614556323,5.630087710445155,Inner Metro,0.95,0,0.6740784155030749,3898.12,352.18750600509117
49,33,Unemployed,25,25053.0,Rent,0,672,0,2,0.694423338129751,8,68,2781.0,36,0.14404102585080808,95.59,Car,5,2394.75,0,0,0.04578613339719794,5.769160611010461,2.283206805157766,4.61507788360921,Outer Metro,1.0,0,0.7002921622958603,2394.75,498.9934920946099
50,42,Employed,2,69869.0,Rent,1,612,0,3,0.039276444387995886,9,54,14619.0,48,0.08383216944885201,359.53,Medical,16,9746.0,1,27,0.06174927364067039,5.295060942344464,4.587485944625213,4.431953550651045,Inner Metro,0.95,0,0.6128025990404437,9746.0,427.2781767540544
51,31,Employed,134,100273.0,Mortgage,1,631,1,4,0.69480621839621,11,0,21241.0,60,0.12124815130276241,473.84,Other,6,19116.9,0,0,0.05670599264009254,5.052743384126641,3.3937702337732434,3.0,Inner Metro,0.95,1,0.6787880102122069,19116.9,3096.7003415460745
52,32,Unemployed,5,18000.0,Mortgage,1,650,0,2,0.25708449554652973,8,53,5799.0,60,0.1286026688055,131.53,Debt Consolidation,36,2319.6,1,19,0.08768666666666666,6.829110096143846,4.549136914009583,4.369989086790653,Inner Metro,0.95,1,0.6583590798541435,2319.6,445.6368415423643
53,38,Self-employed,118,61111.0,Mortgage,1,672,0,1,0.386343784937904,5,54,11719.0,60,0.1337698970873557,268.91,Debt Consolidation,11,9570.52,1,16,0.05280424146225721,5.557357801531522,3.3190995590421952,5.752645968755251,Regional,1.08,0,0.6409867850297524,9570.52,825.3745695363689
54,39,Employed,42,41694.0,Own,0,692,0,2,0.3192791353294536,4,50,5596.0,48,0.08748429580194382,138.59,Debt Consolidation,51,279.8,0,0,0.03988775363361635,4.534425811354526,4.321319208824342,4.512670357271703,Outer Metro,1.0,0,0.5908789147268778,279.8,5.931535474749085
55,54,Employed,128,50057.0,Own,2,779,0,0,0.07086301139400206,10,82,17027.0,36,0.08386007876433013,536.6,Debt Consolidation,48,851.35,0,0,0.1286373534171045,5.376673910456146,4.961448920549085,4.979463513030267,Outer Metro,1.0,0,0.5301729048309501,851.35,9.841542958685793
56,28,Employed,124,59380.0,Own,1,698,0,1,0.18545142877119236,5,82,10567.0,72,0.10009428122879173,195.81,Home Improvement,38,4989.97,0,0,0.03957089929269114,7.657006132118374,4.622051403074123,4.182279996198155,Regional,1.08,0,0.6162635021333227,4989.97,150.40088448617476
57,27,Employed,38,41261.0,Own,0,652,1,2,0.1754043675147441,6,29,9519.0,24,0.10024762673518553,439.36,Debt Consolidation,14,3966.25,0,0,0.12777974358352925,5.9466002678099175,4.273843802516295,4.1733176974634585,Outer Metro,1.0,0,0.6770390400041858,3966.25,464.9995407916253
58,33,Employed,29,41900.0,Own,0,640,0,0,0.6253405623332419,4,98,11200.0,72,0.11700273747697805,217.22,Car,36,5600.0,1,28,0.0622109785202864,4.732098142760976,3.865569878544412,4.562862087594464,Outer Metro,1.0,0,0.6093047906161341,5600.0,517.8049064618226
59,49,Employed,79,34034.0,Rent,1,683,0,4,0.1447700244802825,9,38,7204.0,24,0.079672577300382,325.71,Other,23,360.2,0,0,0.11484162895927602,5.1466330678352135,4.620339026188643,5.005126350179149,Inner Metro,0.95,0,0.589990847295422,360.2,16.64853526747965
60,41,Self-employed,89,37576.0,Rent,0,551,2,2,0.36780705496919347,8,19,8743.0,36,0.129139339676436,294.22,Debt Consolidation,10,6314.39,0,0,0.09395997445177773,5.756054480950821,3.216484378024089,5.2829593678181315,Inner Metro,0.95,0,0.7036841188749863,6314.39,783.0893379184574
61,63,Employed,14,42734.0,Rent,2,522,1,5,0.6222267719977457,8,16,11698.0,36,0.13375102765913635,396.27,Debt Consolidation,28,2599.56,0,0,0.11127533111807929,4.694696756524577,3.745753708761723,5.215502213348745,Outer Metro,1.0,0,0.6784479166782046,2599.56,640.1892440434827
62,37,Employed,40,41266.0,Rent,1,655,1,1,0.4667424945987249,7,8,10228.0,60,0.08673098668249797,210.7,Debt Consolidation,21,6648.2,1,22,0.06127077981873697,4.588546558253153,4.450564024114238,4.17267260083532,Outer Metro,1.0,0,0.7215413827040331,6648.2,1049.8214337058776
63,42,Employed,53,72626.0,Own,0,716,0,0,0.28163079060421636,10,56,12789.0,48,0.09452249918973299,321.01,Medical,52,639.45,0,0,0.0530405089086553,5.18641363543594,5.9983623250988165,4.715695095968834,Outer Metro,1.0,0,0.6164827643926082,639.45,30.49461210070021
64,39,Self-employed,17,75516.0,Rent,2,643,0,1,0.3806346878332329,8,86,20458.0,60,0.10815667987058838,442.93,Home Improvement,23,12615.77,0,0,0.07038455426664549,7.022908138218339,3.204422627815784,3.236871710341286,Regional,1.08,0,0.6252139901175828,12615.77,1333.8139518731866
65,41,Employed,52,65440.0,Rent,0,684,0,0,0.44089949838800047,11,110,13623.0,36,0.10957601566598126,445.73,Car,2,12866.17,0,0,0.08173533007334964,6.14917181579664,2.849228769122593,4.761170884700656,Outer Metro,1.0,0,0.6101970207859083,12866.17,753.2746752264051
66,30,Employed,30,77849.0,Rent,1,718,0,0,0.08996927920252258,6,90,19556.0,24,0.05,857.95,Other,12,9778.0,0,0,0.1322483268892343,4.70856536624691,4.370773137604859,3.0,Outer Metro,1.0,0,0.6004142974754668,9778.0,159.93688609226328
67,39,Employed,39,48806.0,Rent,0,619,1,1,0.13185953985465765,2,0,19227.0,24,0.08381425996073548,872.93,Home Improvement,36,961.35,0,0,0.214628529279187,6.242815512737618,5.569263184369984,3.0,Outer Metro,1.0,0,0.6756221608056944,961.35,123.68733595338854
68,26,Employed,113,132557.0,Mortgage,3,671,0,1,0.4811215046479212,7,80,19182.0,60,0.11376554224470478,420.67,Home Improvement,4,17903.2,0,0,0.038082032635017395,5.210288094208425,5.0552994097858885,4.705464639885619,Inner Metro,0.95,0,0.5812774444977394,17903.2,1558.7865212948047
69,42,Employed,21,60449.0,Mortgage,1,615,1,1,0.46702967484682667,10,16,7098.0,72,0.12791583726579828,141.71,Home Improvement,56,1577.33,0,0,0.028131482737514268,5.6135060171873485,4.028409581597263,5.040607305043421,Inner Metro,0.95,0,0.6421187488288601,1577.33,299.7162187124677
70,43,Self-employed,34,88230.0,Mortgage,0,659,0,4,0.4605352218422274,10,88,33270.0,60,0.10305569746581447,711.9,Home Improvement,25,19407.5,0,0,0.09682420945256714,5.504348585742808,5.5933204906988285,3.292804460514164,Inner Metro,0.95,0,0.5919805871330238,19407.5,2371.909992947445
71,36,Employed,77,36611.0,Mortgage,1,666,0,2,0.39725595471556985,9,60,3018.0,48,0.07868116366563849,73.49,Medical,8,2515.0,0,0,0.024087842451722158,3.0,2.0,5.058069265538902,Inner Metro,0.95,0,0.6233395809461322,2515.0,60.08792206039432
72,31,Employed,50,63683.0,Mortgage,1,616,2,3,0.30402794567869296,5,30,17664.0,24,0.08594204359009011,803.69,Debt Consolidation,43,883.2,1,20,0.15144198608733886,3.0,5.314873815695437,4.337520840967724,Inner Metro,0.95,0,0.6548869180923574,883.2,72.39546830066237
73,30,Employed,95,83109.0,Mortgage,0,683,1,0,0.13196292423852543,7,4,20687.0,24,0.09317814309033415,948.1,Car,39,1034.35,1,27,0.1368949211276757,5.471945704970111,3.5915569444773356,5.635945400440351,Regional,1.08,0,0.6621767292576066,1034.35,58.12146278166295
74,28,Employed,35,27886.0,Mortgage,0,622,1,1,0.251236158775622,6,20,3664.0,36,0.08848041666486942,116.26,Car,40,183.2,0,0,0.050029405436419705,4.1765664785956185,4.818984638140565,5.9578443782781605,Inner Metro,0.95,0,0.6170616260259094,183.2,12.839689163390702
75,30,Employed,46,43380.0,Rent,0,781,0,0,0.011173297628271628,8,26,10248.0,72,0.05,165.04,Debt Consolidation,6,9394.0,0,0,0.045654218533886584,3.2328848922707545,5.310375090652425,3.0,Inner Metro,0.95,0,0.6411209171929012,9394.0,95.81510022695832
76,65,Employed,22,63102.0,Mortgage,0,701,0,0,0.6263538528165203,8,74,8114.0,72,0.11901668679230448,158.22,Car,27,5071.25,0,0,0.030088428259009224,4.2135888133990465,4.251828215024477,6.424012582373446,Inner Metro,0.95,0,0.6355509190428925,5071.25,505.2054639511055
77,41,Self-employed,46,79440.0,Own,1,740,0,0,0.26996891993806255,13,55,14722.0,48,0.10983397243055211,380.38,Other,10,11654.92,0,0,0.05745921450151057,6.309571034433514,4.091183127942677,5.417316971135378,Inner Metro,0.95,0,0.5718667597421928,11654.92,532.9262129676888
78,35,Employed,156,24663.0,Rent,1,688,0,2,0.4367474806864326,9,72,5323.0,48,0.09608807604712356,134.01,Debt Consolidation,55,266.15,0,0,0.06520374650285853,5.62939082418843,3.491057385889892,5.108317820810249,Outer Metro,1.0,0,0.6406242684417972,266.15,11.069476318299943
79,30,Employed,32,47236.0,Mortgage,0,713,0,2,0.1634820788078926,1,83,7911.0,60,0.09837194873709257,167.45,Medical,30,3955.5,0,0,0.04253958844948767,6.126113443383898,6.198949948784145,4.171330135392629,Outer Metro,1.0,0,0.6056167208571743,3955.5,121.7454099539946
80,36,Employed,35,78247.0,Own,4,696,2,3,0.279690821450756,7,13,20388.0,72,0.09310349879812112,370.65,Home Improvement,57,4247.5,1,23,0.05684307385586668,5.743714669238757,4.447815605904048,5.022183162742571,Regional,1.08,0,0.6378473758275717,4247.5,532.4915842844814
81,44,Employed,77,35443.0,Mortgage,1,470,2,1,0.49903368269936893,6,28,6887.0,36,0.11272201113373284,226.36,Medical,0,6887.0,0,0,0.07663911068476145,4.097401617521828,4.289046049818522,4.871576780540813,Outer Metro,1.0,0,0.7132350376484526,6887.0,2432.416240270872
82,44,Employed,127,28519.0,Rent,0,655,0,2,0.3315248669797667,9,55,8399.0,24,0.12864076915756636,398.77,Debt Consolidation,11,4549.46,0,0,0.16779129703005013,6.131853810329352,5.962275547952997,5.363743231604063,Inner Metro,0.95,0,0.5958457700098734,4549.46,285.0473460199373
83,49,Employed,34,40553.0,Mortgage,2,564,1,1,0.5090649341938921,5,20,10338.0,36,0.13214912154396408,349.4,Car,54,516.9,0,0,0.10339062461470175,5.902887598386056,3.3467407072792796,4.8702892356114384,Regional,1.08,1,0.6786019318785004,516.9,101.8022712896569
84,49,Employed,54,21130.0,Own,0,680,0,1,0.47123144476494216,5,83,5938.0,36,0.11490290275134724,195.78,Car,20,2639.11,0,0,0.1111859914813062,5.059020023279585,3.6752927561796787,5.0680777221090505,Inner Metro,0.95,1,0.5993418814695962,2639.11,281.43645210478735
85,38,Employed,56,74914.0,Mortgage,1,723,0,2,0.4104687812927894,4,102,12420.0,72,0.09632252376740642,227.79,Debt Consolidation,50,3795.0,0,0,0.03648823984835945,5.270608226294352,5.218659370827782,5.256244101843587,Inner Metro,0.95,0,0.5781632932061853,3795.0,233.36307331033552
86,30,Employed,132,34118.0,Rent,2,677,0,0,0.37843294706056213,6,40,8958.0,60,0.09326518675550902,187.38,Home Improvement,1,8808.7,0,0,0.06590538718564981,6.150959028021427,6.306661671851195,3.0,Inner Metro,0.95,0,0.6569087456912872,8808.7,563.5902562932745
87,35,Employed,7,100174.0,Rent,1,633,0,1,0.18588860188137032,13,66,16344.0,36,0.08864553214500409,518.71,Debt Consolidation,58,817.2,1,34,0.062137081478227885,4.300660821146053,4.057893240813927,4.227135200066717,Outer Metro,1.0,0,0.6051117716371932,817.2,40.28008456270081
88,47,Employed,111,55483.0,Own,0,641,0,0,0.5362856082413333,3,56,13133.0,72,0.1344537376612739,266.73,Medical,40,5836.89,0,0,0.0576890218625525,6.50545955797849,4.50255959774872,4.517790951735587,Outer Metro,1.0,0,0.5936083478330952,5836.89,1058.3246994050835
89,31,Employed,13,33948.0,Own,2,597,1,2,0.4754555250171293,6,5,3375.0,36,0.13114830198863586,113.9,Car,55,168.75,2,30,0.04026157652880877,5.878112757578052,2.0,4.132935176754373,Inner Metro,0.95,0,0.6397838273765585,168.75,22.07782320112327
90,61,Self-employed,48,46507.0,Rent,1,681,0,0,0.0,6,61,13710.0,72,0.09206695228885674,248.54,Other,25,8949.58,0,0,0.06412970090524006,5.202709476046719,5.666876810355315,5.641918368633145,Outer Metro,1.0,0,0.603611032670829,8949.58,292.23283620473063
91,30,Unemployed,3,28911.0,Rent,2,631,0,1,0.1833392745894587,6,51,9918.0,72,0.1379391485567452,203.27,Debt Consolidation,55,2341.75,0,0,0.08437065476808135,7.037483685473356,2.5918916919619406,6.132795161740816,Inner Metro,0.95,1,0.6332941779743441,2341.75,386.42761543981413
92,44,Employed,27,59548.0,Mortgage,0,606,0,1,0.7874315081086479,11,70,18445.0,36,0.11735572131574012,610.31,Debt Consolidation,28,4098.89,0,0,0.12298851346812655,3.6468021180195844,3.2987356204142113,4.657278448346923,Outer Metro,1.0,0,0.7218142627343216,4098.89,424.64410261959006
93,41,Self-employed,43,29260.0,Rent,2,597,1,1,0.15641439398191287,3,15,3903.0,48,0.09848722926193255,98.71,Other,2,3740.38,0,0,0.040482570061517426,4.647778273157924,4.244924574557374,4.65395435911424,Inner Metro,0.95,0,0.6495209157434344,3740.38,672.5487109539621
94,47,Student,24,23328.0,Own,0,678,0,2,0.4405130869800282,2,57,5200.0,36,0.10124399405640747,168.09,Medical,51,260.0,0,0,0.08646604938271606,4.381299041278089,3.15625541853951,4.629510844245992,Inner Metro,0.95,0,0.5923555914629367,260.0,16.66726136549455
